Respondent_ID,Age,Gender,Income_Level,Frequency_of_Consumption,Brand_Preference,Satisfaction_Level,Purchase_Location,Reason_for_Choice,Occasions_of_Buying,Most_Often_Consumed_Brand,Consumed_With,NPS_Score,Taste_Rating,Price_Rating,Packaging_Rating,Brand_Reputation_Rating,Availability_Rating,Sweetness_Rating,Fizziness_Rating
23,34,Female,Low,Weekly,Store Brand,Very Dissatisfied,Online,Availability,Restaurants,Store Brand,Alone,9,2,3,3,4,5,3,3
24,36,Non-Binary,High,Never,Store Brand,Very Dissatisfied,Online,Brand Loyalty,Home,Store Brand,With Colleagues,7,5,4,3,4,4,5,2
25,20,Female,Low,Weekly,Store Brand,Dissatisfied,Online,Price,Work,Store Brand,With Colleagues,9,3,3,4,4,4,5,2
26,54,Prefer Not to Say,Middle,Monthly,Coke,Very Satisfied,Vending Machine,Other,Home,Store Brand,With Colleagues,7,3,5,3,3,5,5,1
27,20,Male,Middle,Daily,Other,Very Dissatisfied,Vending Machine,Price,Parties,RC Cola,With Family,1,4,3,2,1,5,3,5
28,56,Prefer Not to Say,Middle,Monthly,Other,Very Satisfied,Vending Machine,Price,Parties,Store Brand,With Colleagues,9,1,1,2,2,5,1,3
29,23,Prefer Not to Say,Middle,Weekly,Pepsi,Neutral,Convenience Store,Availability,Other,Coke,With Family,2,5,1,5,5,1,3,4
30,64,Female,Low,Weekly,Pepsi,Satisfied,Online,Taste,Restaurants,Pepsi,With Family,8,1,5,1,5,2,5,2
31,36,Prefer Not to Say,High,Daily,Store Brand,Satisfied,Online,Price,Other,Other,With Colleagues,5,3,1,5,3,5,4,1
32,64,Prefer Not to Say,High,Monthly,Coke,Very Dissatisfied,Online,Availability,Travel,Pepsi,Other,3,3,3,1,2,2,2,2
33,50,Non-Binary,Low,Daily,RC Cola,Very Dissatisfied,Supermarket,Availability,Other,Store Brand,With Family,2,2,5,2,1,5,3,2
34,49,Female,Low,Weekly,Pepsi,Very Satisfied,Convenience Store,Brand Loyalty,Restaurants,Store Brand,With Friends,5,3,4,5,1,1,2,4
35,63,Prefer Not to Say,High,Daily,Pepsi,Very Satisfied,Vending Machine,Other,Work,Coke,Alone,4,5,2,4,5,2,1,3
36,19,Female,High,Rarely,Other,Very Satisfied,Supermarket,Availability,Home,Other,With Colleagues,9,4,1,4,4,5,4,5
37,58,Prefer Not to Say,Middle,Never,Store Brand,Very Satisfied,Vending Machine,Brand Loyalty,Sports Events,Store Brand,With Family,1,4,3,5,4,1,3,4
38,34,Non-Binary,Middle,Daily,Pepsi,Satisfied,Supermarket,Brand Loyalty,Travel,Other,With Friends,5,4,5,2,3,3,1,1
39,22,Prefer Not to Say,High,Weekly,Coke,Satisfied,Online,Availability,Restaurants,Coke,With Family,0,1,5,2,5,4,2,3
40,58,Female,Middle,Monthly,Coke,Dissatisfied,Supermarket,Brand Loyalty,Restaurants,Other,Other,5,2,1,2,4,1,1,2
41,31,Prefer Not to Say,High,Rarely,RC Cola,Satisfied,Other,Brand Loyalty,Sports Events,RC Cola,With Family,2,5,1,4,1,4,1,4
42,27,Male,High,Never,RC Cola,Dissatisfied,Convenience Store,Taste,Restaurants,Other,With Colleagues,3,4,2,1,5,3,2,4
43,54,Non-Binary,Low,Weekly,Other,Very Satisfied,Supermarket,Price,Home,Coke,Alone,7,2,1,2,5,5,5,1
44,47,Male,Low,Weekly,Pepsi,Very Satisfied,Supermarket,Availability,Other,RC Cola,Alone,2,4,4,5,5,2,2,5
45,27,Non-Binary,Middle,Rarely,Pepsi,Dissatisfied,Convenience Store,Brand Loyalty,Home,Store Brand,With Colleagues,8,4,3,3,4,2,2,2
46,34,Prefer Not to Say,High,Monthly,Other,Neutral,Supermarket,Brand Loyalty,Sports Events,Pepsi,Alone,3,5,4,3,2,1,2,2
47,58,Male,Low,Monthly,Store Brand,Very Dissatisfied,Other,Price,Work,Pepsi,Other,2,2,2,3,4,2,1,2
48,39,Prefer Not to Say,Low,Monthly,Other,Satisfied,Vending Machine,Availability,Travel,Pepsi,With Family,5,1,5,2,3,5,5,1
49,60,Prefer Not to Say,Low,Rarely,Coke,Satisfied,Convenience Store,Brand Loyalty,Sports Events,RC Cola,With Friends,6,1,5,4,1,2,5,3
50,55,Male,High,Monthly,Coke,Neutral,Other,Availability,Restaurants,RC Cola,With Friends,6,4,5,4,4,1,3,4
51,37,Prefer Not to Say,High,Rarely,Other,Dissatisfied,Vending Machine,Other,Travel,Store Brand,With Family,10,3,3,4,2,5,2,3
52,51,Male,Middle,Rarely,Store Brand,Very Satisfied,Convenience Store,Other,Parties,Coke,Alone,7,3,5,5,4,5,1,2
53,29,Female,Low,Rarely,Other,Satisfied,Online,Price,Travel,Other,With Family,7,2,4,2,5,4,5,4
54,40,Non-Binary,Middle,Never,Other,Dissatisfied,Supermarket,Taste,Travel,Pepsi,Other,1,2,4,2,1,3,4,5
55,27,Prefer Not to Say,High,Rarely,Store Brand,Very Dissatisfied,Supermarket,Price,Parties,RC Cola,With Family,7,5,1,4,3,4,2,3
56,34,Male,High,Monthly,Pepsi,Very Satisfied,Convenience Store,Taste,Parties,Pepsi,With Family,2,5,4,1,2,5,1,1
57,45,Male,High,Weekly,Pepsi,Satisfied,Supermarket,Availability,Other,Other,Alone,1,5,2,1,1,2,5,2
58,23,Male,Low,Weekly,Coke,Very Dissatisfied,Vending Machine,Brand Loyalty,Other,Other,With Friends,10,1,3,3,2,3,1,4
59,30,Female,Middle,Daily,Other,Dissatisfied,Vending Machine,Brand Loyalty,Restaurants,Coke,With Family,7,5,2,2,4,3,5,3
60,27,Female,High,Rarely,Coke,Dissatisfied,Convenience Store,Other,Home,Coke,Alone,7,2,3,3,3,5,5,4
61,46,Prefer Not to Say,Low,Rarely,RC Cola,Very Dissatisfied,Vending Machine,Other,Travel,Pepsi,Other,0,3,4,5,5,4,5,4
62,42,Non-Binary,Middle,Weekly,Coke,Neutral,Online,Other,Restaurants,Coke,With Friends,8,2,1,3,2,5,1,1
63,50,Female,Middle,Daily,Store Brand,Neutral,Vending Machine,Availability,Restaurants,Other,With Colleagues,8,4,4,1,2,1,5,4
64,46,Non-Binary,Middle,Daily,Coke,Neutral,Online,Brand Loyalty,Sports Events,RC Cola,Alone,9,1,2,2,3,3,2,3
65,26,Male,Middle,Never,Store Brand,Satisfied,Convenience Store,Price,Parties,Pepsi,Other,7,4,1,4,2,2,1,4
66,53,Prefer Not to Say,High,Monthly,Coke,Very Dissatisfied,Online,Availability,Work,Store Brand,With Family,6,5,3,3,1,1,3,5
67,40,Female,Low,Weekly,Coke,Neutral,Convenience Store,Price,Travel,Pepsi,With Friends,8,5,4,4,2,4,3,2
68,60,Prefer Not to Say,Low,Monthly,Store Brand,Very Dissatisfied,Supermarket,Availability,Sports Events,Other,Alone,10,1,2,4,3,4,2,5
69,24,Male,High,Rarely,Other,Very Dissatisfied,Other,Price,Parties,Pepsi,With Colleagues,10,1,3,1,3,4,5,3
70,45,Male,Low,Rarely,Coke,Very Satisfied,Supermarket,Brand Loyalty,Other,RC Cola,With Friends,1,3,4,4,4,4,3,4
71,43,Male,Middle,Never,Pepsi,Very Satisfied,Convenience Store,Brand Loyalty,Home,RC Cola,Other,8,1,3,3,4,4,1,5
72,30,Female,High,Daily,Store Brand,Neutral,Vending Machine,Other,Parties,Store Brand,With Friends,8,5,4,5,1,2,5,2
73,34,Non-Binary,High,Never,Coke,Very Satisfied,Supermarket,Price,Work,RC Cola,Alone,9,5,4,1,3,5,2,3
74,48,Female,Middle,Rarely,Other,Dissatisfied,Online,Brand Loyalty,Sports Events,RC Cola,With Family,5,1,5,3,5,3,4,1
75,20,Male,Low,Weekly,Coke,Dissatisfied,Other,Brand Loyalty,Travel,Other,Other,0,4,2,4,2,5,1,1
76,64,Non-Binary,Low,Never,Coke,Satisfied,Vending Machine,Taste,Sports Events,Coke,With Colleagues,1,3,4,5,5,4,2,1
77,54,Female,High,Rarely,Coke,Neutral,Other,Price,Restaurants,RC Cola,Other,8,4,5,1,5,3,2,1
78,29,Male,Middle,Never,Other,Neutral,Other,Other,Restaurants,Store Brand,With Colleagues,5,2,1,4,2,2,2,1
79,43,Male,Low,Daily,Pepsi,Neutral,Supermarket,Brand Loyalty,Restaurants,Store Brand,Alone,0,3,5,1,3,1,2,1
80,59,Non-Binary,Low,Rarely,Coke,Dissatisfied,Supermarket,Availability,Restaurants,RC Cola,With Friends,6,3,2,4,1,3,3,3
81,55,Prefer Not to Say,Middle,Daily,Store Brand,Neutral,Convenience Store,Availability,Parties,Store Brand,Alone,9,3,3,1,1,1,5,5
82,34,Male,High,Monthly,RC Cola,Neutral,Convenience Store,Price,Work,Other,Other,7,3,4,1,4,1,2,2
83,29,Non-Binary,High,Weekly,Store Brand,Very Dissatisfied,Supermarket,Taste,Parties,Pepsi,With Friends,1,1,4,3,3,5,4,5
84,37,Non-Binary,Middle,Daily,Coke,Neutral,Online,Brand Loyalty,Sports Events,Coke,Alone,5,2,4,2,4,3,5,2
85,25,Non-Binary,High,Rarely,Store Brand,Dissatisfied,Supermarket,Taste,Home,Pepsi,Other,9,4,5,3,1,1,5,5
86,28,Male,Low,Rarely,Other,Dissatisfied,Online,Price,Other,Pepsi,With Family,5,1,5,1,5,5,5,3
87,33,Prefer Not to Say,Middle,Never,Coke,Very Satisfied,Other,Other,Work,Other,Alone,8,4,1,5,3,5,5,4
88,31,Female,High,Rarely,Coke,Satisfied,Convenience Store,Availability,Restaurants,Store Brand,With Friends,0,4,5,2,4,2,3,1
89,43,Male,Middle,Never,RC Cola,Satisfied,Online,Availability,Restaurants,Coke,With Friends,5,4,4,2,3,1,2,2
90,48,Non-Binary,Low,Monthly,Coke,Neutral,Supermarket,Taste,Sports Events,Coke,With Family,0,5,2,3,3,4,2,4
91,38,Male,High,Rarely,Store Brand,Dissatisfied,Convenience Store,Taste,Sports Events,Other,With Family,7,4,5,3,4,4,3,3
92,56,Male,Low,Never,RC Cola,Dissatisfied,Vending Machine,Price,Sports Events,Pepsi,With Colleagues,3,2,4,1,5,1,3,1
93,47,Female,High,Weekly,Pepsi,Dissatisfied,Online,Price,Sports Events,Pepsi,With Colleagues,4,3,5,4,1,1,2,3
94,43,Male,Low,Rarely,Pepsi,Very Satisfied,Supermarket,Other,Work,Pepsi,With Family,4,3,5,5,3,1,2,4
95,18,Prefer Not to Say,Low,Weekly,Coke,Very Dissatisfied,Other,Other,Other,Other,With Family,9,5,5,2,5,4,2,5
96,52,Female,High,Weekly,Coke,Dissatisfied,Online,Price,Restaurants,Other,Other,6,3,3,2,4,2,5,4
97,36,Female,Low,Never,Pepsi,Neutral,Online,Availability,Sports Events,Pepsi,With Friends,3,1,3,5,3,3,4,2
98,56,Male,Low,Rarely,Other,Satisfied,Supermarket,Taste,Home,Store Brand,With Colleagues,7,1,3,4,4,1,4,5
99,42,Non-Binary,Low,Weekly,Pepsi,Neutral,Other,Taste,Other,Store Brand,With Friends,9,2,3,4,2,2,5,3
100,24,Male,High,Rarely,Pepsi,Very Satisfied,Supermarket,Brand Loyalty,Other,RC Cola,Other,5,4,2,4,5,3,3,1
101,58,Prefer Not to Say,Middle,Rarely,Coke,Very Satisfied,Other,Price,Home,Pepsi,With Friends,9,2,2,4,1,2,5,2
102,42,Female,High,Daily,Store Brand,Dissatisfied,Vending Machine,Availability,Sports Events,Other,Other,7,2,3,3,5,1,2,5
103,37,Female,Middle,Rarely,Coke,Very Dissatisfied,Other,Price,Work,Other,With Friends,7,4,3,4,1,3,3,4
104,60,Non-Binary,High,Monthly,RC Cola,Very Satisfied,Other,Price,Parties,Store Brand,With Colleagues,3,4,4,3,2,5,5,5
105,59,Non-Binary,Low,Monthly,Store Brand,Neutral,Vending Machine,Other,Restaurants,Coke,With Colleagues,5,2,5,1,3,1,3,1
106,44,Female,High,Daily,Other,Neutral,Vending Machine,Taste,Sports Events,Coke,With Friends,6,4,2,5,3,5,5,3
107,43,Female,High,Monthly,RC Cola,Very Satisfied,Convenience Store,Other,Work,Coke,Alone,1,5,1,1,5,5,1,2
108,51,Non-Binary,High,Rarely,Other,Satisfied,Supermarket,Other,Work,Coke,Other,10,1,1,1,1,5,5,4
109,40,Male,Low,Monthly,Coke,Neutral,Supermarket,Taste,Travel,Coke,With Colleagues,2,4,4,2,5,4,2,4
110,62,Male,Middle,Monthly,Other,Very Satisfied,Other,Brand Loyalty,Work,Coke,With Friends,8,5,2,2,1,1,2,4
111,63,Male,High,Rarely,Store Brand,Very Dissatisfied,Vending Machine,Price,Restaurants,Other,With Friends,4,2,1,4,1,2,2,2
112,33,Male,Low,Weekly,Other,Neutral,Convenience Store,Brand Loyalty,Home,Store Brand,Alone,10,3,1,3,3,5,2,3
113,40,Female,Low,Daily,RC Cola,Satisfied,Convenience Store,Price,Parties,Other,Other,6,1,4,5,2,4,3,1
114,23,Non-Binary,Low,Rarely,Other,Very Satisfied,Supermarket,Availability,Travel,Other,With Friends,4,3,1,3,5,1,1,4
115,39,Male,Low,Daily,Store Brand,Dissatisfied,Other,Availability,Travel,RC Cola,Alone,5,4,5,1,3,1,5,4
116,36,Female,High,Weekly,Store Brand,Very Dissatisfied,Vending Machine,Availability,Other,Store Brand,Alone,7,4,5,3,3,5,3,3
117,50,Prefer Not to Say,Low,Rarely,Other,Very Dissatisfied,Online,Taste,Other,RC Cola,With Family,5,3,1,2,1,4,4,1
118,61,Male,Low,Never,Pepsi,Dissatisfied,Vending Machine,Brand Loyalty,Parties,Store Brand,With Colleagues,0,5,1,3,4,4,3,5
119,56,Male,High,Weekly,Pepsi,Satisfied,Online,Brand Loyalty,Work,Store Brand,With Friends,9,2,3,4,1,2,5,2
120,48,Non-Binary,Low,Weekly,Coke,Very Dissatisfied,Other,Brand Loyalty,Other,Store Brand,Alone,0,2,1,2,3,5,4,5
121,38,Male,High,Rarely,Coke,Dissatisfied,Vending Machine,Other,Work,RC Cola,Alone,0,3,2,5,4,1,4,2
122,61,Male,Low,Daily,Pepsi,Satisfied,Supermarket,Other,Travel,RC Cola,With Family,10,4,1,1,4,3,3,3
123,19,Prefer Not to Say,Low,Never,RC Cola,Satisfied,Online,Price,Other,Other,With Family,4,1,3,1,2,1,4,3
124,48,Female,High,Weekly,Store Brand,Very Satisfied,Convenience Store,Availability,Travel,RC Cola,Other,4,3,1,5,5,5,4,5
125,30,Prefer Not to Say,Middle,Daily,Store Brand,Satisfied,Online,Brand Loyalty,Restaurants,Coke,Alone,5,3,1,3,3,1,2,3
126,37,Female,High,Never,Other,Satisfied,Vending Machine,Availability,Home,Coke,With Family,5,2,3,5,4,2,5,4
127,22,Prefer Not to Say,High,Daily,RC Cola,Very Dissatisfied,Convenience Store,Price,Sports Events,Coke,With Family,0,1,4,3,2,1,5,1
128,18,Female,High,Monthly,Pepsi,Very Dissatisfied,Other,Price,Travel,Store Brand,With Friends,3,2,2,5,5,3,1,3
129,20,Prefer Not to Say,High,Monthly,RC Cola,Satisfied,Convenience Store,Availability,Work,Other,With Family,0,2,4,5,2,2,1,2
130,54,Male,Low,Monthly,Other,Very Satisfied,Supermarket,Brand Loyalty,Travel,Coke,Alone,7,4,2,3,4,1,5,5
131,50,Non-Binary,Middle,Daily,Store Brand,Very Satisfied,Online,Taste,Work,Store Brand,With Friends,10,2,3,3,3,4,5,4
132,44,Male,Low,Weekly,RC Cola,Neutral,Vending Machine,Price,Other,Pepsi,Alone,4,1,5,4,2,4,2,4
133,55,Female,High,Rarely,Coke,Very Satisfied,Online,Brand Loyalty,Sports Events,Pepsi,With Family,0,2,4,3,5,1,2,3
134,52,Non-Binary,Middle,Never,Coke,Dissatisfied,Vending Machine,Other,Home,Other,With Family,4,3,1,3,3,3,5,1
135,30,Prefer Not to Say,Low,Monthly,Coke,Very Dissatisfied,Convenience Store,Availability,Travel,Coke,Other,9,5,2,1,2,4,4,1
136,61,Prefer Not to Say,High,Never,Pepsi,Very Satisfied,Other,Brand Loyalty,Parties,Other,With Colleagues,8,3,4,2,3,4,4,2
137,63,Non-Binary,Low,Never,Pepsi,Neutral,Convenience Store,Price,Home,RC Cola,Alone,6,4,1,5,2,2,5,2
138,46,Female,High,Rarely,Pepsi,Dissatisfied,Other,Price,Travel,RC Cola,Other,4,4,4,5,2,5,1,1
139,57,Male,Low,Weekly,Coke,Very Dissatisfied,Online,Brand Loyalty,Travel,Pepsi,With Colleagues,4,4,4,2,2,5,4,2
140,38,Prefer Not to Say,Low,Daily,Store Brand,Neutral,Supermarket,Taste,Restaurants,Coke,With Friends,7,1,1,3,5,1,2,2
141,53,Non-Binary,Middle,Monthly,Store Brand,Satisfied,Convenience Store,Price,Work,Pepsi,With Colleagues,3,4,1,3,1,4,2,3
142,64,Male,Middle,Monthly,RC Cola,Neutral,Online,Other,Work,Other,With Family,3,1,5,4,4,5,4,5
143,49,Non-Binary,High,Rarely,Pepsi,Very Satisfied,Convenience Store,Price,Other,RC Cola,Other,10,1,5,4,3,5,5,5
144,55,Female,Low,Monthly,Coke,Very Dissatisfied,Other,Price,Sports Events,Coke,Alone,9,1,5,4,2,1,2,4
145,34,Non-Binary,Low,Rarely,Coke,Dissatisfied,Supermarket,Brand Loyalty,Other,Coke,With Friends,7,1,5,1,4,5,1,2
146,62,Prefer Not to Say,Low,Never,Pepsi,Dissatisfied,Online,Availability,Parties,Store Brand,Alone,8,4,5,2,4,2,2,1
147,40,Male,Middle,Daily,Store Brand,Very Satisfied,Other,Taste,Other,Pepsi,Other,9,2,1,2,2,2,5,1
148,37,Non-Binary,Middle,Weekly,RC Cola,Satisfied,Other,Other,Travel,RC Cola,With Friends,9,1,5,5,5,1,5,2
149,55,Female,High,Daily,Coke,Dissatisfied,Online,Price,Work,Store Brand,Other,9,3,5,5,5,3,5,5
150,47,Non-Binary,High,Daily,Store Brand,Very Dissatisfied,Supermarket,Brand Loyalty,Home,Other,With Family,5,2,3,2,4,1,2,2
151,22,Non-Binary,Low,Daily,Coke,Very Dissatisfied,Online,Price,Travel,Pepsi,Alone,8,5,2,3,2,5,3,3
152,21,Female,Middle,Weekly,Coke,Very Dissatisfied,Online,Taste,Sports Events,Pepsi,With Friends,4,2,5,3,5,4,2,4
153,38,Female,Low,Weekly,Other,Neutral,Supermarket,Taste,Parties,RC Cola,With Colleagues,10,3,2,3,2,3,4,5
154,61,Female,Low,Weekly,Coke,Very Satisfied,Online,Taste,Sports Events,Coke,Alone,5,3,3,1,4,4,5,3
155,29,Male,Middle,Rarely,Other,Very Satisfied,Convenience Store,Availability,Other,Coke,With Friends,8,4,5,5,3,3,3,5
156,53,Prefer Not to Say,High,Never,Coke,Very Satisfied,Other,Availability,Sports Events,Store Brand,With Family,8,2,2,5,1,3,4,3
157,40,Non-Binary,Middle,Monthly,Store Brand,Dissatisfied,Other,Brand Loyalty,Work,Pepsi,With Colleagues,1,4,3,1,3,4,1,2
158,24,Non-Binary,Low,Weekly,Coke,Very Dissatisfied,Vending Machine,Other,Home,Coke,Alone,0,1,2,1,3,1,5,5
159,27,Non-Binary,Middle,Never,Store Brand,Dissatisfied,Vending Machine,Availability,Other,RC Cola,With Colleagues,8,1,4,5,5,2,3,2
160,61,Non-Binary,Low,Monthly,Store Brand,Very Dissatisfied,Online,Brand Loyalty,Restaurants,Other,Alone,10,1,1,3,1,3,5,1
161,55,Female,Low,Monthly,RC Cola,Neutral,Online,Availability,Work,Store Brand,With Family,7,2,4,2,1,1,4,1
162,51,Non-Binary,Low,Daily,Coke,Neutral,Vending Machine,Other,Restaurants,Coke,With Friends,4,5,4,2,2,2,3,5
163,21,Prefer Not to Say,Low,Daily,RC Cola,Very Satisfied,Convenience Store,Taste,Travel,Store Brand,With Friends,0,2,3,4,1,2,4,1
164,50,Non-Binary,Low,Daily,Store Brand,Neutral,Vending Machine,Brand Loyalty,Travel,RC Cola,Alone,8,3,3,3,1,5,2,5
165,50,Female,High,Never,Other,Very Dissatisfied,Vending Machine,Price,Other,RC Cola,With Family,2,5,4,5,4,2,3,2
166,50,Male,High,Never,Coke,Neutral,Vending Machine,Other,Other,Other,With Colleagues,8,4,5,1,4,1,5,5
167,22,Prefer Not to Say,Middle,Daily,Coke,Neutral,Vending Machine,Other,Parties,Store Brand,Other,7,4,4,1,1,2,5,4
168,38,Female,High,Never,Pepsi,Dissatisfied,Convenience Store,Availability,Other,Coke,With Colleagues,4,2,2,4,4,3,4,1
169,37,Non-Binary,Middle,Never,RC Cola,Neutral,Convenience Store,Brand Loyalty,Restaurants,Other,With Friends,2,2,3,4,4,3,2,4
170,35,Female,Middle,Rarely,Store Brand,Very Dissatisfied,Convenience Store,Taste,Restaurants,Coke,With Family,6,4,3,3,5,1,4,1
171,26,Prefer Not to Say,Middle,Daily,Other,Neutral,Vending Machine,Price,Travel,Pepsi,With Family,8,2,3,5,2,5,2,1
172,46,Prefer Not to Say,High,Rarely,Coke,Dissatisfied,Convenience Store,Availability,Work,RC Cola,Other,3,3,1,3,4,2,5,2
173,61,Non-Binary,Low,Daily,Pepsi,Dissatisfied,Online,Brand Loyalty,Other,RC Cola,Other,4,1,4,2,4,3,5,1
174,27,Prefer Not to Say,High,Weekly,RC Cola,Neutral,Convenience Store,Other,Other,Pepsi,Other,4,3,2,1,3,4,4,4
175,42,Male,Middle,Weekly,Other,Satisfied,Other,Availability,Travel,RC Cola,With Family,6,5,1,3,1,3,4,3
176,23,Prefer Not to Say,Low,Daily,Pepsi,Dissatisfied,Convenience Store,Taste,Work,Other,With Friends,10,4,5,2,1,4,3,1
177,57,Female,Low,Monthly,RC Cola,Very Dissatisfied,Other,Other,Restaurants,RC Cola,With Family,4,3,3,5,4,5,1,4
178,52,Non-Binary,Middle,Rarely,Pepsi,Dissatisfied,Supermarket,Availability,Travel,Store Brand,Alone,2,2,2,5,5,1,4,2
179,39,Female,High,Never,Pepsi,Very Dissatisfied,Supermarket,Brand Loyalty,Parties,Store Brand,With Friends,2,1,4,5,5,5,1,1
180,43,Prefer Not to Say,High,Never,Pepsi,Very Dissatisfied,Convenience Store,Taste,Sports Events,Pepsi,Alone,4,1,5,5,5,1,1,2
181,43,Female,Middle,Daily,Coke,Satisfied,Online,Availability,Restaurants,Other,With Family,1,1,2,1,2,2,5,3
182,58,Non-Binary,Low,Never,Coke,Dissatisfied,Supermarket,Price,Work,Store Brand,With Friends,5,3,3,4,4,1,4,5
183,57,Male,Middle,Daily,RC Cola,Very Satisfied,Supermarket,Other,Travel,Store Brand,Alone,3,3,2,5,3,5,3,2
184,53,Prefer Not to Say,Middle,Never,Other,Very Dissatisfied,Vending Machine,Price,Restaurants,Other,With Family,8,1,5,2,3,3,1,1
185,49,Non-Binary,Middle,Rarely,Store Brand,Dissatisfied,Convenience Store,Other,Other,Coke,With Family,2,1,5,3,1,1,3,4
186,50,Non-Binary,Middle,Monthly,Store Brand,Dissatisfied,Convenience Store,Brand Loyalty,Work,Store Brand,Other,6,3,4,2,5,4,2,4
187,47,Non-Binary,Middle,Weekly,Store Brand,Neutral,Convenience Store,Price,Parties,Coke,Other,6,2,1,2,3,5,2,3
188,39,Female,High,Rarely,Pepsi,Very Satisfied,Vending Machine,Brand Loyalty,Restaurants,Pepsi,Other,1,5,5,1,1,5,3,3
189,46,Prefer Not to Say,Middle,Daily,Other,Very Satisfied,Supermarket,Brand Loyalty,Sports Events,Store Brand,With Friends,8,4,3,3,1,2,2,3
190,38,Prefer Not to Say,Low,Weekly,Store Brand,Neutral,Vending Machine,Availability,Sports Events,Other,With Family,5,2,4,3,3,4,2,1
191,62,Female,High,Weekly,Pepsi,Neutral,Online,Availability,Sports Events,Pepsi,Other,3,1,5,3,4,5,2,3
192,37,Non-Binary,Low,Never,Coke,Neutral,Supermarket,Price,Parties,RC Cola,With Family,7,5,5,4,5,1,3,2
193,19,Female,High,Never,Coke,Neutral,Vending Machine,Availability,Sports Events,Other,With Colleagues,2,5,3,2,3,1,4,4
194,63,Male,High,Weekly,Coke,Neutral,Convenience Store,Availability,Parties,Pepsi,With Colleagues,10,3,2,1,4,2,4,3
195,18,Non-Binary,Middle,Weekly,Coke,Very Satisfied,Online,Taste,Restaurants,RC Cola,Other,10,4,4,2,4,4,3,3
196,20,Prefer Not to Say,Low,Daily,Store Brand,Dissatisfied,Convenience Store,Price,Home,Other,Alone,0,3,3,5,4,4,4,5
197,57,Non-Binary,Middle,Weekly,Pepsi,Neutral,Supermarket,Other,Sports Events,Coke,With Colleagues,6,2,1,3,5,4,3,3
